parameter,reaction,metabolite
km_substrate1_GLUSy,GLUSy,nadph_c
km_product1_GLUSy,GLUSy,glu__L_c
km_substrate2_GLUSy,GLUSy,gln__L_c
km_product2_GLUSy,GLUSy,nadp_c
km_substrate3_GLUSy,GLUSy,akg_c
km_substrate_GLUt2r,GLUt2r,glu__L_e
km_product_GLUt2r,GLUt2r,glu__L_c
km_substrate1_GND,GND,nadp_c
km_product1_GND,GND,ru5p__D_c
km_substrate2_GND,GND,_6pgc_c
km_product2_GND,GND,nadph_c
km_product3_GND,GND,co2_c
km_substrate1_ICDHyr,ICDHyr,nadp_c
km_product1_ICDHyr,ICDHyr,nadph_c
km_substrate2_ICDHyr,ICDHyr,icit_c
km_product2_ICDHyr,ICDHyr,co2_c
km_product3_ICDHyr,ICDHyr,akg_c
km_substrate_ICL,ICL,icit_c
km_product1_ICL,ICL,succ_c
km_product2_ICL,ICL,glx_c
km_substrate1_LDH_D,LDH_D,nad_c
km_product1_LDH_D,LDH_D,pyr_c
km_substrate2_LDH_D,LDH_D,lac__D_c
km_product2_LDH_D,LDH_D,nadh_c
km_substrate1_MALS,MALS,glx_c
km_product1_MALS,MALS,mal__L_c
km_substrate2_MALS,MALS,accoa_c
km_product2_MALS,MALS,coa_c
km_substrate_MALt2_2,MALt2_2,mal__L_e
km_product_MALt2_2,MALt2_2,mal__L_c
km_substrate1_MDH,MDH,nad_c
km_product1_MDH,MDH,oaa_c
km_substrate2_MDH,MDH,mal__L_c
km_product2_MDH,MDH,nadh_c
km_substrate1_ME1,ME1,nad_c
km_product1_ME1,ME1,pyr_c
km_substrate2_ME1,ME1,mal__L_c
km_product2_ME1,ME1,nadh_c
km_product3_ME1,ME1,co2_c
km_substrate1_ME2,ME2,nadp_c
km_product1_ME2,ME2,pyr_c
km_substrate2_ME2,ME2,mal__L_c
km_product2_ME2,ME2,nadph_c
km_product3_ME2,ME2,co2_c
km_substrate1_NADH16,NADH16,q8_c
km_substrate2_NADH16,NADH16,nadh_c
km_substrate1_NADTRHD,NADTRHD,nadph_c
km_product1_NADTRHD,NADTRHD,nadp_c
km_substrate2_NADTRHD,NADTRHD,nad_c
km_product2_NADTRHD,NADTRHD,nadh_c
km_substrate_NH4t,NH4t,nh4_e
km_product_NH4t,NH4t,nh4_c
km_substrate_O2t,O2t,o2_e
km_product_O2t,O2t,o2_c
km_substrate1_PDH,PDH,pyr_c
km_product1_PDH,PDH,nadh_c
km_substrate2_PDH,PDH,nad_c
km_product2_PDH,PDH,co2_c
km_substrate3_PDH,PDH,coa_c
km_product3_PDH,PDH,accoa_c
km_substrate1_PFK,PFK,f6p_c
km_product1_PFK,PFK,fdp_c
km_substrate2_PFK,PFK,atp_c
km_product2_PFK,PFK,adp_c
km_substrate1_PFL,PFL,pyr_c
km_product1_PFL,PFL,for_c
km_substrate2_PFL,PFL,coa_c
km_product2_PFL,PFL,accoa_c
km_substrate_PGI,PGI,g6p_c
km_product_PGI,PGI,f6p_c
km_substrate1_PGK,PGK,atp_c
km_product1_PGK,PGK,adp_c
km_substrate2_PGK,PGK,_3pg_c
km_product2_PGK,PGK,_13dpg_c
km_substrate_PGL,PGL,_6pgl_c
km_product_PGL,PGL,_6pgc_c
km_substrate_PGM,PGM,_2pg_c
km_product_PGM,PGM,_3pg_c
km_substrate_PIt2r,PIt2r,pi_e
km_product_PIt2r,PIt2r,pi_c
km_substrate1_PPC,PPC,pep_c
km_product1_PPC,PPC,pi_c
km_substrate2_PPC,PPC,co2_c
km_product2_PPC,PPC,oaa_c
km_substrate1_PPCK,PPCK,oaa_c
km_product1_PPCK,PPCK,pep_c
km_substrate2_PPCK,PPCK,atp_c
km_product2_PPCK,PPCK,co2_c
km_product3_PPCK,PPCK,adp_c
km_substrate1_PPS,PPS,pyr_c
km_product1_PPS,PPS,pi_c
km_substrate2_PPS,PPS,atp_c
km_product2_PPS,PPS,pep_c
km_product3_PPS,PPS,amp_c
km_substrate1_PTAr,PTAr,pi_c
km_product1_PTAr,PTAr,coa_c
km_substrate2_PTAr,PTAr,accoa_c
km_product2_PTAr,PTAr,actp_c
km_substrate1_PYK,PYK,pep_c
km_product1_PYK,PYK,pyr_c
km_substrate2_PYK,PYK,adp_c
