Reaction;fcc(pgi);fcc(gpmA);fcc(pykA);fcc(pgl);fcc(rpe);fcc(rpiA);fcc(tktB);fcc(talA)
GLCpts;0.0166576241709055;0.0155318020570122;0.0132020063381033;-0.0733505313326773;-0.0816903082110409;-0.151922085659623;-0.0256206162175551;0.0191824820130111
PGI;5.24;0.0059558831778027;0.0856602028748073;-0.0612876850111948;-0.1293206711884;0.103750107849661;-0.0730062697424722;-0.0348765177350919
PFK;0.348310389978845;0.0158081518760635;0.0349354829748018;-0.0733395155228269;-0.10478403405523;0.166533127534331;-0.0401812978130746;0.00738567238293571
FBA;0.348310389978845;0.0158081518760635;0.0349354829748018;-0.0733395155228269;-0.10478403405523;0.166533127534331;-0.0401812978130746;0.00738567238293571
TPI;0.348310389978845;0.0158081518760635;0.0349354829748018;-0.0733395155228269;-0.10478403405523;0.166533127534331;-0.0401812978130746;0.00738567238293571
GAPD;0.14736340382907;0.0174482210679491;0.0307979065504402;-0.0729288028341793;-0.0970117521170132;-0.0115286111438981;-0.0334484278412437;0.0147415048243676
PGM;0.157779576504299;0.0168298105806555;0.0246139382963233;-0.0733973514984586;-0.104442641692673;-0.0245388819472643;-0.0384769820034063;0.0137830280363741
PYK;0.803427377551872;0.046747073194691;-0.0815581089994799;-0.117848281353912;-0.224272133805483;-0.114654951616778;0.0703837352134582;0.173216098341832
PDH;0.0259211796569012;0.0311181503603604;-0.0155791999898813;-0.093892765393701;-0.150227536318944;-0.362209521294939;0.00380317943793111;0.0791822682929323
PGL;-0.587149996001027;0.0512719683804111;-0.251451065553548;-0.11538410277168;0.250942083536278;-0.922302466472328;0.195297507067451;0.332695259698191
GND;-0.41778327670853;0.0512719683804111;-0.251451065553548;-0.11538410277168;0.250942083536278;0.449290051274108;0.195297507067451;0.332695259698191
RPE;-0.561681118815233;0.0962275297343319;-0.315384496821862;-0.136624380799997;4.18;0.992879411008255;0.542079529379234;0.829004732550329
RPI;-0.278972002647202;0.0215947662249993;-0.154733699652029;0.000001;0.180939582851306;0.375816397555942;0.113407297166978;0.151140486267243
TKT1;-0.469860282961325;0.0650632442438289;-0.334321038944201;-0.162378366037724;0.429252773353305;0.481970302248395;0.29994512457953;0.50630669990457
TALA;-0.469860282961325;0.0650632442438289;-0.334321038944201;-0.162378366037724;0.429252773353305;0.481970302248395;0.29994512457953;0.50630669990457
TKT2;-0.713438128023561;0.187004559925179;-0.568147426766583;-0.232556369677514;0.1389305291826;15.75;7.46;9.95
CS;0.10593464204535;0.0350871051589652;0.0468761152099017;-0.0842350481029752;-0.169131217705339;-0.354153645145602;-0.0706972556338183;0.0185784729813826
ACONTa;0.10593464204535;0.0350871051589652;0.0468761152099017;-0.0842350481029752;-0.169131217705339;-0.354153645145602;-0.0706972556338183;0.0185784729813826
ICDHyr;0.236829828926087;0.026087026335661;0.15973101176184;-0.0552502439438971;-0.154870372736326;-0.208497052493424;-0.155850226458195;-0.0604728274799247
AKGDH;0.276859463505368;0.0322960776117006;0.179587339292172;-0.0507589840675017;-0.165409282279082;-0.230222398638418;-0.168671908054751;-0.0670484350632733
SUCDi;0.123384090235572;0.0375854962820493;0.0607739546850806;-0.085378509634359;-0.183530037317922;-0.391052461007395;-0.0775869875622632;0.0288551969232906
FUM;0.123384090235572;0.0375854962820493;0.0607739546850806;-0.085378509634359;-0.183530037317922;-0.391052461007395;-0.0775869875622632;0.0288551969232906
MDH;0.042714758530949;0.0421306896305848;-0.0369074037120173;-0.108482613135828;-0.197403476937903;-0.499937064851172;-0.00272090846864821;0.107926592202461
PPC;4.59;-0.0405447184003908;0.910951120477284;0.197063919386953;4.39;18.36;-0.350441684835751;-0.37495475116655
ME1;-3.93;0.000001;0.000001;0.000001;0.000001;0.000001;0.000001;0.000001
ICL;-0.30515520979842;0.114082782873137;-0.529149000717873;-0.247990250472309;-0.260354764039216;-1.13;8.53;1.42
MALS;-0.30515520979842;0.114082782873137;-0.529149000717873;-0.247990250472309;-0.260354764039216;-1.13;8.53;1.42
