Reaction;fcc(pgi);fcc(gpmA);fcc(pykA);fcc(pgl);fcc(rpe);fcc(rpiA);fcc(tktB);fcc(talA)
GLCpts;-0.00795753516859669;-0.00301445092740076;-0.0512328033612542;-0.104646255789551;-0.105244795027174;-0.250391303452717;-0.0722879882268294;-0.0430121868883288
PGI;5.11;-0.0907770301908468;-0.250416678520685;-0.224518856571301;-0.252175359655278;-0.409842277753155;-0.316412356002033;-0.359269349207921
PFK;0.293355501777355;-0.025597521971408;-0.10891927394444;-0.143209184656031;-0.157370904274947;-0.0533055816315103;-0.144369134911954;-0.131467829601787
FBA;0.293355501777355;-0.025597521971408;-0.10891927394444;-0.143209184656031;-0.157370904274947;-0.0533055816315103;-0.144369134911954;-0.131467829601787
TPI;0.293355501777355;-0.025597521971408;-0.10891927394444;-0.143209184656031;-0.157370904274947;-0.0533055816315103;-0.144369134911954;-0.131467829601787
GAPD;0.103556999349063;-0.0155576453015579;-0.0838735971904498;-0.128624284839553;-0.138930529182601;-0.18676949924783;-0.116500084995317;-0.0959433290544004
PGM;0.113374097225424;-0.0166274277512727;-0.0916257564169795;-0.129854497467726;-0.146934679294874;-0.202176278074176;-0.122664412690957;-0.0984154770824945
PYK;0.800704365600985;0.044695424134687;-0.0886861049813274;-0.121310319951037;-0.226877810584281;-0.125547948616998;0.065221233116881;0.166335914290858
PDH;0.003211450637898;0.0140075408459222;-0.0750261874125938;-0.122765924899455;-0.17195869821793;-0.453056353604723;-0.039251726595477;0.0218020150231755
PGL;-0.338951772691962;0.23827652830559;0.398254470212514;0.200175227973774;0.488445391887367;0.0705769445359269;0.665851390528086;0.95981313075075
GND;-0.169585053399465;0.23827652830559;0.398254470212514;0.200175227973774;0.488445391887367;1.44;0.665851390528086;0.95981313075075
RPE;-0.212716313157571;0.359154512213675;0.598096522504319;0.307049627252533;4.51;2.38;1.20;1.71
RPI;-0.11297849737119;0.146662310991122;0.279785523899156;0.211044215928025;0.339780392194066;1.03;0.428110954169419;0.570553213116698
TKT1;-0.173847893577721;0.288093312191377;0.440547070399121;0.213971916574639;0.712509925053265;1.66;0.861148897595537;1.25
TALA;-0.173847893577721;0.288093312191377;0.440547070399121;0.213971916574639;0.712509925053265;1.66;0.861148897595537;1.25
TKT2;-0.26485584747997;0.524988171753167;0.606101071188283;0.337771339946486;0.568183302535905;17.55;8.31;11.08
CS;0.0171908697585471;-0.031776750115005;-0.18542740151472;-0.197063919386953;-0.254051001709698;-0.709159668895626;-0.238944739945993;-0.205648778945285
ACONTa;0.0171908697585471;-0.031776750115005;-0.18542740151472;-0.197063919386953;-0.254051001709698;-0.709159668895626;-0.238944739945993;-0.205648778945285
ICDHyr;0.0561096956737903;-0.110076273054207;-0.313337930606007;-0.285017901185791;-0.327803236480571;-0.931440581534878;-0.498473793168819;-0.517095053499607
AKGDH;0.0619537240290037;-0.12962431287445;-0.382968857702948;-0.323990236162615;-0.371054687104224;-1.08;-0.576107259284718;-0.610046801532527
SUCDi;0.0219746453338241;-0.0388212900489447;-0.204684342530792;-0.214310522675465;-0.280569727373321;-0.796725590259985;-0.269847058895183;-0.227374176291096
FUM;0.0219746453338241;-0.0388212900489447;-0.204684342530792;-0.214310522675465;-0.280569727373321;-0.796725590259985;-0.269847058895183;-0.227374176291096
MDH;0.0142931130882664;0.0207164456948417;-0.111306406789074;-0.144617905705627;-0.224600427550289;-0.613633553934725;-0.0566049188337907;0.0361141451019392
PPC;0.000001;-3.49;-11.10;-5.63;0.000001;0.000001;-9.05;-11.97
ME1;-3.93;0.000001;0.000001;0.000001;0.000001;0.000001;0.000001;0.000001
ICL;-0.0388989915624442;0.314693110597197;0.167826733490505;0.0905280229995201;-0.00557158365621565;-0.0687694714854251;9.04;2.09
MALS;-0.0388989915624442;0.314693110597197;0.167826733490505;0.0905280229995201;-0.00557158365621565;-0.0687694714854251;9.04;2.09
