Reaction;fcc(pgi);fcc(gpmA);fcc(pykA);fcc(pgl);fcc(rpe);fcc(rpiA);fcc(tktB);fcc(talA)
GLCpts;-0.00263291146496212;0.000997378404775565;-0.0372945992516512;-0.0978765268608387;-0.100149610507005;-0.229090952562928;-0.0621931441610367;-0.0295585584269306
PGI;5.25;0.0129336139565399;0.10990276848842;-0.049513169697016;-0.120458672607208;0.140797574652282;-0.0554484181211464;-0.011476769234358
PFK;0.339468598876358;0.00914631831405568;0.0117904316171215;-0.0845809726359898;-0.113244830472677;0.131162881023081;-0.0569442668809167;-0.0149547180459629
FBA;0.339468598876358;0.00914631831405568;0.0117904316171215;-0.0845809726359898;-0.113244830472677;0.131162881023081;-0.0569442668809167;-0.0149547180459629
TPI;0.339468598876358;0.00914631831405568;0.0117904316171215;-0.0845809726359898;-0.113244830472677;0.131162881023081;-0.0569442668809167;-0.0149547180459629
GAPD;0.134849768892127;0.00801984255964183;-0.00195888672024757;-0.0888386438203386;-0.108986171826379;-0.0615875129366486;-0.0571727697695683;-0.0168764656677588
PGM;0.145986819850541;0.00794457667793522;-0.00625582047043297;-0.0883906675169614;-0.115727245919509;-0.0717140193210975;-0.0608346256889611;-0.0160135125993591
PYK;0.7896003953624;0.0363291552702109;-0.117752835745177;-0.135427912617049;-0.237503308351088;-0.169967700230656;0.0441694453645921;0.138279717580773
PDH;0.0453865340916702;0.0457842909609272;0.0353750266895327;-0.0691445051673981;-0.131600948203817;-0.284341318257103;0.0407071427302571;0.128365020166281
PGL;-0.690161565928673;-0.0263419365246758;-0.521103226385517;-0.246353058278379;0.15236930436779;-1.33;0.000001;0.0724178267434639
GND;-0.520794846636176;-0.0263419365246758;-0.521103226385517;-0.246353058278379;0.15236930436779;0.0372078634437898;0.000001;0.0724178267434639
RPE;-0.889781323308613;-0.150979051902809;-1.17;-0.553771125716266;3.86;-0.319635777238775;-0.0799588693257341;0.000001
RPI;-0.338789784747139;-0.0234748473611115;-0.311317996064103;-0.0760523545836514;0.123699361879746;0.136524417672395;0.000001;0.000001
TKT1;-0.670244340195851;-0.0859158076589804;-0.858864001133005;-0.41714674491627;0.237503308351088;-0.319635777238775;-0.0799588693257341;0.000001
TALA;-0.670244340195851;-0.0859158076589804;-0.858864001133005;-0.41714674491627;0.237503308351088;-0.319635777238775;-0.0799588693257341;0.000001
TKT2;-4.65;-2.78;-10.88;-5.24;-3.63;0.000001;0.000001;0.000001
CS;0.080293105577027;0.0157675299455151;-0.0202454296863804;-0.116835708894787;-0.193667854838508;-0.456728729231974;-0.119310514835284;-0.046209524072519
ACONTa;0.080293105577027;0.0157675299455151;-0.0202454296863804;-0.116835708894787;-0.193667854838508;-0.456728729231974;-0.119310514835284;-0.046209524072519
ICDHyr;0.134367874372542;-0.0511127717325939;-0.108482427445393;-0.185520418221197;-0.252917219575689;-0.618380587240561;-0.350105729093684;-0.319361557410477
AKGDH;0.1530567360289;-0.0609828921593455;-0.144489587254709;-0.208161826465323;-0.283877323534699;-0.725476464115691;-0.403386941145573;-0.379858502155751
SUCDi;0.0914969332122602;0.0135601681112504;-0.0226966768193585;-0.125919855158503;-0.214043169869707;-0.518612204433154;-0.138041189730964;-0.0517134943419853
FUM;0.0914969332122602;0.0135601681112504;-0.0226966768193585;-0.125919855158503;-0.214043169869707;-0.518612204433154;-0.138041189730964;-0.0517134943419853
MDH;0.0219939334561012;0.0265186166562211;-0.0911480609467188;-0.134827079288474;-0.217231437192527;-0.582827588085504;-0.042005092607778;0.0555716658289153
PPC;4.54;-0.0714115501107866;0.803711214445969;0.144977934100486;4.35;18.20;-0.428110954169419;-0.478466354285243
ME1;0.670244340195851;3.47;12.06;5.86;4.41;18.44;8.73;11.64
ICL;-0.0106895802537583;0.335947447059389;0.241670173800441;0.126393480997611;0.0214222780367693;0.0440780070808514;9.09;2.16
MALS;-0.0106895802537583;0.335947447059389;0.241670173800441;0.126393480997611;0.0214222780367693;0.0440780070808514;9.09;2.16
